Correlation,FDR,Feature 1,Feature 2
continuous,continuous,string,string
,,meta,meta
0.268,6.83179373166133e-21,209395_at,212235_at
0.268,6.88799489309094e-21,209395_at,209461_x_at
0.268,6.930070330466908e-21,209395_at,216993_s_at
0.268,6.935615297479554e-21,204191_at,209395_at
0.268,6.93878369612209e-21,202817_s_at,209395_at
0.268,6.978950627895296e-21,203321_s_at,209395_at
0.268,7.018441172392083e-21,209395_at,213622_at
0.268,7.022907406528132e-21,209395_at,213639_s_at
0.268,7.183708800377116e-21,200848_at,209395_at
0.268,7.30760948990571e-21,209395_at,214464_at
0.268,7.3451781484846e-21,206936_x_at,209395_at
0.268,7.360446991771166e-21,209395_at,217490_at
0.268,7.464032032581753e-21,209395_at,218012_at
0.268,7.48375248431188e-21,209041_s_at,209395_at
0.268,7.497806340622625e-21,208876_s_at,209395_at
0.268,7.603361239845925e-21,209395_at,220906_at
0.268,7.604216140122956e-21,201862_s_at,209395_at
0.268,7.67139998894244e-21,209395_at,215013_s_at
0.268,7.70435772128011e-21,209395_at,218414_s_at
0.268,7.733109973998758e-21,206231_at,209395_at
0.268,7.746894315933469e-21,209395_at,219370_at
0.268,7.782346693046e-21,209395_at,215395_x_at
0.268,7.856427343842783e-21,203394_s_at,209395_at
0.268,7.872379224931356e-21,209269_s_at,209395_at
0.268,7.960517883025498e-21,209395_at,216506_x_at
0.268,7.996626787087209e-21,209395_at,212170_at
0.268,8.004149314661365e-21,209395_at,213948_x_at
0.268,8.124717040389697e-21,206371_at,209395_at
0.268,8.140026528577339e-21,209395_at,216256_at
0.268,8.219009803665517e-21,209395_at,49679_s_at
0.268,8.230219115743674e-21,209395_at,220635_at
0.268,8.238631353553163e-21,209395_at,221192_x_at
0.268,8.257908260798035e-21,207877_s_at,209395_at
0.268,8.307772403014936e-21,209395_at,214403_x_at
0.268,8.350882530646248e-21,209395_at,219428_s_at
0.268,8.386099712211098e-21,209395_at,219620_x_at
0.268,8.395010665157183e-21,209395_at,52837_at
0.268,8.414447025612298e-21,206524_at,209395_at
0.268,8.448027899523933e-21,209395_at,219694_at
0.268,8.589384449996708e-21,209395_at,210617_at
0.268,8.609773964963557e-21,209395_at,215314_at
0.268,8.633827196501198e-21,209395_at,222116_s_at
0.268,8.684607832571105e-21,209395_at,210660_at
0.268,8.715755587303604e-21,204779_s_at,209395_at
0.268,8.753036063246869e-21,209395_at,218980_at
0.268,8.773002496835772e-21,209395_at,217785_s_at
0.268,8.891428947845711e-21,202749_at,209395_at
0.268,8.91194209657497e-21,209395_at,32723_at
0.267,9.18487792625727e-21,204948_s_at,209395_at
0.267,9.301272869160716e-21,209395_at,220490_at
0.267,9.428281011743857e-21,209395_at,221663_x_at
0.267,9.435064396792565e-21,205032_at,209395_at
0.267,9.508830391450526e-21,209395_at,220375_s_at
0.267,9.55872858726855e-21,209395_at,212115_at
0.267,9.695868362267071e-21,209395_at,218484_at
0.267,9.719289701053324e-21,205256_at,209395_at
0.267,9.736178247641258e-21,209395_at,218795_at
0.267,9.931252389968535e-21,209395_at,219353_at
0.267,9.949282826600114e-21,202174_s_at,209395_at
0.267,1.0073884442739896e-20,209395_at,218812_s_at
0.267,1.0123572287736521e-20,205408_at,209395_at
0.267,1.026463831416135e-20,207840_at,209395_at
0.267,1.0266048726031285e-20,209395_at,213221_s_at
0.267,1.0287748280694229e-20,203266_s_at,209395_at
0.267,1.0346896867642566e-20,209395_at,211867_s_at
0.267,1.0378515619515069e-20,201667_at,209395_at
0.267,1.0526535378563e-20,209395_at,217876_at
0.267,1.0580101686034858e-20,209395_at,211207_s_at
0.267,1.062608171531449e-20,209395_at,210695_s_at
0.267,1.0679789364988637e-20,209395_at,218110_at
0.267,1.0701005698376669e-20,203441_s_at,209395_at
0.267,1.0708724179439206e-20,209395_at,222196_at
0.267,1.071849739042228e-20,209395_at,212443_at
0.267,1.0733906820827417e-20,201557_at,209395_at
0.267,1.0847817258298897e-20,204312_x_at,209395_at
0.267,1.090870847502052e-20,209202_s_at,209395_at
0.267,1.0969188109664944e-20,206175_x_at,209395_at
0.267,1.1013752237727857e-20,209395_at,213018_at
0.267,1.112115247058899e-20,209395_at,213659_at
0.267,1.1135178657044881e-20,209395_at,52285_f_at
0.267,1.1149468824464406e-20,209048_s_at,209395_at
0.267,1.1193022852358955e-20,206432_at,209395_at
0.267,1.1281233508473955e-20,209395_at,214072_x_at
0.267,1.157757237811115e-20,206561_s_at,209395_at
0.267,1.1933996990604662e-20,201681_s_at,209395_at
0.267,1.19667001236816e-20,202821_s_at,209395_at
0.267,1.19892265608843e-20,209395_at,221525_at
0.267,1.2102679108242036e-20,209395_at,219536_s_at
0.267,1.2225643029391879e-20,206856_at,209395_at
0.267,1.2284168410228008e-20,203678_at,209395_at
0.267,1.2363344110955986e-20,209395_at,216902_s_at
0.267,1.2525624505109439e-20,202886_s_at,209395_at
0.267,1.2624209583609875e-20,209395_at,213426_s_at
0.267,1.2649324941079793e-20,209395_at,218284_at
0.267,1.2651564491935628e-20,209008_x_at,209395_at
0.267,1.2704456528629581e-20,209395_at,213459_at
0.266,1.2954407001430504e-20,209395_at,213367_at
0.266,1.2974745106185408e-20,209395_at,218121_at
0.266,1.3071485887197771e-20,209395_at,211317_s_at
0.266,1.3117983803903313e-20,209395_at,214906_x_at
0.266,1.3138862129019192e-20,209395_at,215842_s_at
0.266,1.3365684438354853e-20,209395_at,218791_s_at
0.266,1.3608384226096264e-20,208917_x_at,209395_at
0.266,1.3647272012385767e-20,209395_at,216940_x_at
0.266,1.381478129192251e-20,209395_at,221740_x_at
0.266,1.3935849252138797e-20,209395_at,218362_s_at
0.266,1.3949505865017448e-20,209395_at,213839_at
0.266,1.4047269629151004e-20,209395_at,213807_x_at
0.266,1.4201376484346502e-20,209395_at,212312_at
0.266,1.422062536223748e-20,208397_x_at,209395_at
0.266,1.4386264275598906e-20,209395_at,219952_s_at
0.266,1.445178973847287e-20,205619_s_at,209395_at
0.266,1.4580109369573472e-20,209395_at,211495_x_at
0.266,1.496847744019776e-20,204692_at,209395_at
0.266,1.4979024328869274e-20,209395_at,220007_at
0.266,1.5485316028477614e-20,209395_at,34260_at
0.266,1.5490854713413398e-20,209395_at,219897_at
0.266,1.5509417004891343e-20,200908_s_at,209395_at
0.266,1.5673123138408797e-20,206273_at,209395_at
0.266,1.5727883307767356e-20,209395_at,215146_s_at
0.266,1.573839379822742e-20,209395_at,210896_s_at
0.266,1.577265972891398e-20,208220_x_at,209395_at
0.266,1.5889101817900054e-20,209395_at,221299_at
0.266,1.6164754469237335e-20,207194_s_at,209395_at
0.266,1.6166957425259945e-20,209395_at,219915_s_at
0.266,1.6268046334853816e-20,209395_at,215299_x_at
0.266,1.6446206337689218e-20,206008_at,209395_at
0.266,1.6668646716985884e-20,209395_at,212306_at
0.266,1.6668646716985884e-20,208426_x_at,209395_at
0.266,1.6975038344039333e-20,209395_at,214232_at
0.266,1.7018035701073234e-20,209395_at,220823_at
0.266,1.7081160072276e-20,209395_at,213388_at
0.266,1.7395198508141954e-20,209395_at,210315_at
0.266,1.7503596266181368e-20,209395_at,222151_s_at
0.266,1.7503596266181368e-20,201707_at,209395_at
0.266,1.7505116973757613e-20,209209_s_at,209395_at
0.266,1.759747581859408e-20,204027_s_at,209395_at
0.266,1.789586929841976e-20,205499_at,209395_at
0.266,1.799008814120017e-20,209395_at,220575_at
0.266,1.8094496953809176e-20,209395_at,210191_s_at
0.266,1.8127531422422334e-20,209395_at,211080_s_at
0.265,1.8256038489712286e-20,206416_at,209395_at
0.265,1.840203127923753e-20,203615_x_at,209395_at
0.265,1.8444227128347785e-20,209395_at,219446_at
0.265,1.845542171613574e-20,209395_at,211633_x_at
0.265,1.8707922804898958e-20,209395_at,213506_at
0.265,1.8787011026720156e-20,204507_s_at,209395_at
0.265,1.9071682490566267e-20,209395_at,220128_s_at
0.265,1.959657415770285e-20,209395_at,218182_s_at
0.265,1.9758171386151166e-20,209395_at,221473_x_at
0.265,1.989285657299198e-20,209395_at,214699_x_at
0.265,2.0039953689406373e-20,209395_at,217976_s_at
0.265,2.0048258144496052e-20,203869_at,209395_at
0.265,2.0327852706148716e-20,209395_at,218401_s_at
0.265,2.069295517579235e-20,207720_at,209395_at
0.265,2.070154753629142e-20,209395_at,210962_s_at
0.265,2.0770190770112006e-20,202222_s_at,209395_at
0.265,2.0796158615402238e-20,201661_s_at,209395_at
0.265,2.0997515412768183e-20,209395_at,219312_s_at
0.265,2.109447643656743e-20,203045_at,209395_at
0.265,2.1238904569956027e-20,202955_s_at,209395_at
0.265,2.1317933443984414e-20,209395_at,216938_x_at
0.265,2.1394325867808947e-20,209395_at,219830_at
0.265,2.1487491902000796e-20,207069_s_at,209395_at
0.265,2.1514549690400588e-20,201977_s_at,209395_at
0.265,2.182487144628622e-20,209395_at,217487_x_at
0.265,2.218311648144859e-20,202265_at,209395_at
0.265,2.221976338777737e-20,209395_at,221573_at
0.265,2.2274367200895145e-20,203642_s_at,209395_at
0.265,2.252120819387467e-20,209395_at,37117_at
0.265,2.2627510806933358e-20,202080_s_at,209395_at
0.265,2.2874486919644933e-20,209395_at,215095_at
0.265,2.300189505467749e-20,209395_at,211034_s_at
0.265,2.302311213821299e-20,209395_at,212908_at
0.265,2.3034988120993994e-20,207590_s_at,209395_at
0.265,2.3126194871978162e-20,209395_at,219503_s_at
0.265,2.3205206461587882e-20,205605_at,209395_at
0.265,2.3217536216174613e-20,209395_at,215848_at
0.265,2.36306824138436e-20,209395_at,215116_s_at
0.265,2.3709707786226355e-20,209395_at,221363_x_at
0.265,2.41222923233545e-20,207091_at,209395_at
0.265,2.4281280180308575e-20,209395_at,220244_at
0.265,2.4339729023829e-20,205818_at,209395_at
0.265,2.437363940321689e-20,206160_at,209395_at
0.265,2.4396601717248482e-20,209395_at,221921_s_at
0.265,2.4462098647871185e-20,202843_at,209395_at
0.265,2.455589736021391e-20,207914_x_at,209395_at
0.265,2.463368595702738e-20,209395_at,220586_at
0.265,2.4643849946963886e-20,209395_at,220671_at
0.265,2.4778184952152535e-20,209395_at,209407_s_at
0.265,2.4943673470986207e-20,209395_at,211640_x_at
0.265,2.495348713929646e-20,206553_at,209395_at
0.265,2.515356078302285e-20,209395_at,220788_s_at
0.265,2.5214159037295147e-20,209395_at,214930_at
0.265,2.5263012301545503e-20,209395_at,219409_at
0.265,2.526968816964953e-20,206130_s_at,209395_at
0.265,2.545413865141548e-20,202833_s_at,209395_at
0.264,2.5589048874814324e-20,209395_at,215377_at
0.264,2.560357440954149e-20,201990_s_at,209395_at
0.264,2.562276513450669e-20,207440_at,209395_at
0.264,2.568395461240606e-20,209395_at,38290_at
0.264,2.568395461240606e-20,209395_at,218955_at
0.264,2.568395461240606e-20,208911_s_at,209395_at
0.264,2.5820814714422084e-20,209395_at,219688_at
0.264,2.6170208663005855e-20,201647_s_at,209395_at
0.264,2.621348693095091e-20,206954_at,209395_at
0.264,2.63089500583681e-20,206858_s_at,209395_at
0.264,2.6500443228977615e-20,209395_at,219946_x_at
0.264,2.657841067047564e-20,209395_at,210623_at
0.264,2.6605204837900713e-20,209395_at,213324_at
0.264,2.6862934676538575e-20,209395_at,220659_s_at
0.264,2.7088576230628082e-20,209395_at,215630_at
0.264,2.716247596224862e-20,209395_at,212206_s_at
0.264,2.733640807066594e-20,209395_at,216875_x_at
0.264,2.7430147709759015e-20,208467_at,209395_at
0.264,2.776003068209622e-20,200946_x_at,209395_at
0.264,2.790423192971081e-20,209395_at,221802_s_at
0.264,2.794344145876409e-20,205021_s_at,209395_at
0.264,2.819535005154765e-20,209395_at,213973_at
0.264,2.834461013560922e-20,209395_at,221262_s_at
0.264,2.857802529133953e-20,209395_at,217156_at
0.264,2.8965436831316783e-20,205271_s_at,209395_at
0.264,2.9878221791985317e-20,209395_at,222190_s_at
0.264,3.033093149205989e-20,201734_at,209395_at
0.264,3.043133621912432e-20,209395_at,218833_at
0.264,3.0736324310055744e-20,202346_at,209395_at
0.264,3.0740639156102306e-20,209395_at,219077_s_at
0.264,3.077957736644394e-20,209395_at,218911_at
0.264,3.079106399940438e-20,208669_s_at,209395_at
0.264,3.094158907237588e-20,209395_at,220572_at
0.264,3.0955054115050557e-20,209395_at,211211_x_at
0.264,3.1310093016898925e-20,209395_at,218546_at
0.264,3.1390119254164054e-20,201988_s_at,209395_at
0.264,3.167400016009703e-20,209395_at,219911_s_at
0.264,3.188108417400119e-20,204262_s_at,209395_at
0.264,3.195775722585509e-20,209395_at,210240_s_at
0.264,3.238154040678817e-20,209395_at,222078_at
0.264,3.2605785714047217e-20,209395_at,220719_at
0.264,3.2670940570522904e-20,209395_at,212916_at
0.264,3.2820914340357593e-20,209395_at,209506_s_at
0.264,3.306144665926942e-20,207517_at,209395_at
0.264,3.3358355266537956e-20,208727_s_at,209395_at
0.264,3.3479515562202896e-20,209395_at,217881_s_at
0.264,3.373880538642653e-20,209395_at,213237_at
0.264,3.407725775545831e-20,209395_at,65770_at
0.264,3.4474509133666835e-20,205872_x_at,209395_at
0.264,3.4551133475988846e-20,209395_at,221042_s_at
0.264,3.4663953749952346e-20,209395_at,213704_at
0.264,3.4773773336687837e-20,202784_s_at,209395_at
0.264,3.5101393535635035e-20,209395_at,216532_x_at
0.264,3.51022367161155e-20,209395_at,209799_at
0.264,3.5448760904182293e-20,209395_at,218490_s_at
0.264,3.548842889486636e-20,209395_at,216883_x_at
0.263,3.582948591489812e-20,207500_at,209395_at
0.263,3.615828662573818e-20,209395_at,220768_s_at
0.263,3.6591055385358907e-20,202172_at,209395_at
0.263,3.6772493265596675e-20,209395_at,40359_at
0.263,3.6782211199582286e-20,209395_at,209569_x_at
0.263,3.711302460576124e-20,209395_at,211672_s_at
0.263,3.718187745178793e-20,209395_at,219073_s_at
0.263,3.759478871943583e-20,209395_at,219314_s_at
0.263,3.792140908230503e-20,209395_at,219219_at
0.263,3.832258737820884e-20,207545_s_at,209395_at
0.263,3.8430873162300586e-20,209395_at,222130_s_at
0.263,3.96538487200963e-20,209395_at,78383_at
0.263,3.967490544511407e-20,209395_at,216206_x_at
0.263,4.0092959015611193e-20,209395_at,220989_s_at
0.263,4.0290042232684257e-20,204850_s_at,209395_at
0.263,4.04234294570404e-20,209395_at,220618_s_at
0.263,4.065251446612603e-20,209395_at,210751_s_at
0.263,4.1265043742984974e-20,209395_at,219775_s_at
0.263,4.145833325693177e-20,208632_at,209395_at
0.263,4.253421061184119e-20,208530_s_at,209395_at
0.263,4.257837024359538e-20,201133_s_at,209395_at
0.263,4.334935835968893e-20,209395_at,219221_at
0.263,4.365869631614988e-20,208459_s_at,209395_at
0.263,4.401408495526193e-20,207532_at,209395_at
0.263,4.460614815690761e-20,209395_at,221951_at
0.263,4.521542404070314e-20,200685_at,209395_at
0.263,4.526242952136248e-20,209395_at,209640_at
0.263,4.5471464934191246e-20,209395_at,222319_at
0.263,4.55720038456625e-20,209395_at,212418_at
0.263,4.616779332656455e-20,209395_at,211261_at
0.263,4.634897139073142e-20,209395_at,209877_at
0.263,4.6443232473064874e-20,204922_at,209395_at
0.263,4.6614897278559995e-20,209395_at,211327_x_at
0.263,4.7181234262334865e-20,208927_at,209395_at
0.263,4.733045296339316e-20,209395_at,32062_at
0.263,4.754925072924032e-20,201537_s_at,209395_at
0.263,4.802290591603453e-20,209395_at,211734_s_at
0.263,4.873864836204224e-20,207382_at,209395_at
0.263,4.873864836204224e-20,209395_at,220445_s_at
0.263,4.96683557570748e-20,209395_at,320_at
0.263,4.97079581109661e-20,209395_at,211998_at
0.262,5.1151189242055086e-20,202139_at,209395_at
0.262,5.184694421844149e-20,209395_at,215209_at
0.262,5.231599720814403e-20,209395_at,217377_x_at
0.262,5.233794166493295e-20,204653_at,209395_at
0.262,5.2754874201845324e-20,207025_at,209395_at
0.262,5.287179382041739e-20,207836_s_at,209395_at
0.262,5.3427673446998055e-20,209395_at,213343_s_at
0.262,5.3537413964601973e-20,204933_s_at,209395_at
0.262,5.364702347888977e-20,209395_at,217998_at
0.262,5.470533268977674e-20,207560_at,209395_at
0.262,5.499107729780886e-20,209395_at,217936_at
0.262,5.518669658867257e-20,206488_s_at,209395_at
0.262,5.531197134183096e-20,209395_at,210872_x_at
0.262,5.59076924887273e-20,209395_at,218340_s_at
0.262,5.605511862013631e-20,200884_at,209395_at
0.262,5.615623153964206e-20,209395_at,210234_at
0.262,5.690226359121498e-20,209395_at,213393_at
0.262,5.722473519642369e-20,201996_s_at,209395_at
0.262,5.724051769780934e-20,209395_at,213141_at
0.262,5.736694250614894e-20,206431_x_at,209395_at
0.262,5.739156963756236e-20,209395_at,215474_at
0.262,5.786634039243203e-20,205287_s_at,209395_at
0.262,5.789743763417066e-20,209395_at,210783_x_at
0.262,5.879595705426693e-20,209395_at,215990_s_at
0.262,5.934896942934343e-20,209395_at,213757_at
0.262,5.975052189867764e-20,202426_s_at,209395_at
0.262,6.009241559459834e-20,209395_at,222360_at
0.262,6.031705366474472e-20,203965_at,209395_at
0.262,6.041314609454301e-20,207911_s_at,209395_at
0.262,6.045738842764444e-20,207524_at,209395_at
0.262,6.04903917692951e-20,209395_at,212478_at
0.262,6.168002990387878e-20,209395_at,218432_at
0.262,6.168096333827213e-20,209395_at,210689_at
0.262,6.170634751606789e-20,202712_s_at,209395_at
0.262,6.176800029276983e-20,209395_at,218262_at
0.262,6.206238201590825e-20,209395_at,211701_s_at
0.262,6.218172972263097e-20,205497_at,209395_at
0.262,6.221458226572967e-20,209395_at,219393_s_at
0.262,6.26054990448123e-20,209395_at,216503_s_at
0.262,6.270722044325045e-20,209395_at,220072_at
0.262,6.330277214594152e-20,209395_at,220335_x_at
0.262,6.348524961026416e-20,208957_at,209395_at
0.262,6.393844499783794e-20,209395_at,220341_s_at
0.262,6.46289534346089e-20,205085_at,209395_at
0.262,6.531721076048272e-20,203991_s_at,209395_at
0.262,6.644183850833046e-20,207292_s_at,209395_at
0.262,6.64762046573555e-20,203799_at,209395_at
0.262,6.72207234425557e-20,209395_at,218222_x_at
0.262,6.724284086453322e-20,203004_s_at,209395_at
0.262,6.755399607868006e-20,209395_at,219227_at
0.262,6.777992783058178e-20,209395_at,220675_s_at
0.262,6.831570387793186e-20,209395_at,218928_s_at
0.262,6.840073887690345e-20,205031_at,209395_at
0.262,6.891706299938884e-20,209395_at,212102_s_at
0.262,6.960540568284237e-20,209395_at,218811_at
0.261,7.034337148259232e-20,209395_at,214553_s_at
0.261,7.046633915274906e-20,209395_at,217006_x_at
0.261,7.101485866395119e-20,209395_at,215671_at
0.261,7.216503150784009e-20,209395_at,37996_s_at
0.261,7.240899665196085e-20,202071_at,209395_at
0.261,7.255718059382253e-20,209395_at,221753_at
0.261,7.273610184690594e-20,209395_at,214525_x_at
0.261,7.31458580546016e-20,209395_at,219890_at
0.261,7.362436925096744e-20,204566_at,209395_at
0.261,7.561440435003707e-20,209395_at,219732_at
0.261,7.564567188232919e-20,206777_s_at,209395_at
0.261,7.613069509273851e-20,209395_at,215555_at
0.261,7.622788913343595e-20,202741_at,209395_at
0.261,7.670186962669051e-20,209395_at,220242_x_at
0.261,7.791433847496696e-20,203199_s_at,209395_at
0.261,8.167618093868233e-20,204258_at,209395_at
0.261,8.183839976333801e-20,209395_at,209811_at
0.261,8.416257997425481e-20,209395_at,217355_at
0.261,8.466575916535879e-20,209395_at,214037_s_at
0.261,8.490527177126038e-20,209395_at,210546_x_at
0.261,8.523929434987652e-20,209395_at,221019_s_at
0.261,8.597030358310581e-20,203842_s_at,209395_at
0.261,8.837870188154582e-20,209395_at,214368_at
0.261,8.865059444677481e-20,203812_at,209395_at
0.261,8.877559660071814e-20,208240_s_at,209395_at
0.261,8.878111064707468e-20,209395_at,215899_at
0.261,8.973692578573543e-20,208558_at,209395_at
0.261,8.97881638584012e-20,201439_at,209395_at
0.261,9.049490560704465e-20,209395_at,215791_at
0.261,9.304475840435504e-20,209395_at,214758_at
0.261,9.304475840435504e-20,209395_at,220024_s_at
0.261,9.311212117785557e-20,209395_at,210270_at
0.261,9.430276610359745e-20,203007_x_at,209395_at
0.261,9.477124873959745e-20,201392_s_at,209395_at
0.261,9.580401992078758e-20,205544_s_at,209395_at
0.261,9.712706995862393e-20,209395_at,213555_at
0.261,9.716485678523347e-20,209395_at,218494_s_at
0.26,9.874250874336406e-20,205139_s_at,209395_at
0.26,9.980116452932748e-20,209395_at,220482_s_at
0.26,1.003502867248041e-19,205536_at,209395_at
0.26,1.0177481476119205e-19,209006_s_at,209395_at
0.26,1.0242431984229592e-19,209395_at,218311_at
0.26,1.0280259369789053e-19,209395_at,217622_at
0.26,1.0301377612080374e-19,209395_at,218346_s_at
0.26,1.0427021661184668e-19,202915_s_at,209395_at
0.26,1.0445043656524223e-19,209395_at,44654_at
0.26,1.052787005101831e-19,205198_s_at,209395_at
0.26,1.0704870153670448e-19,209395_at,214017_s_at
0.26,1.0840485087060712e-19,204743_at,209395_at
0.26,1.0907905638726156e-19,209395_at,213820_s_at
0.26,1.1297010812852348e-19,209395_at,220596_at
0.26,1.1332694902199041e-19,206807_s_at,209395_at
0.26,1.1365152401766385e-19,209395_at,219922_s_at
0.26,1.1498026147006845e-19,209395_at,215613_at
0.26,1.1535041308932715e-19,202709_at,209395_at
0.26,1.1537435351277475e-19,205218_at,209395_at
0.26,1.1562391736210395e-19,204413_at,209395_at
0.26,1.166006484852365e-19,209395_at,214915_at
0.26,1.168321780024979e-19,203337_x_at,209395_at
0.26,1.1684439157701404e-19,209395_at,221135_s_at
0.26,1.1697769453198557e-19,209395_at,210405_x_at
0.26,1.174167101778799e-19,209395_at,213635_s_at
0.26,1.1798178505176306e-19,209395_at,215495_s_at
0.26,1.1957515005949307e-19,209395_at,37796_at
0.26,1.1987743769486065e-19,209395_at,213587_s_at
0.26,1.1990145811648615e-19,202938_x_at,209395_at
0.26,1.2268094720403038e-19,202704_at,209395_at
0.26,1.2271211337902582e-19,209395_at,221232_s_at
0.26,1.2378999219307658e-19,209395_at,217468_at
0.26,1.2403790366389464e-19,209395_at,212490_at
0.26,1.2501675249979945e-19,209395_at,219696_at
0.26,1.254075744259604e-19,209395_at,212564_at
0.26,1.2585068054288607e-19,209395_at,219843_at
0.26,1.276526264402166e-19,209395_at,212665_at
0.26,1.2766551910192657e-19,209395_at,215728_s_at
0.26,1.2778284531138798e-19,209395_at,214619_at
0.26,1.3065364133003828e-19,205752_s_at,209395_at
0.26,1.3476604764353142e-19,209395_at,213049_at
0.26,1.3546469314926562e-19,209395_at,214869_x_at
0.26,1.3552186183604962e-19,205295_at,209395_at
0.259,1.374482736468274e-19,203513_at,209395_at
0.259,1.3744930453445935e-19,205405_at,209395_at
0.259,1.3744930453445935e-19,205875_s_at,209395_at
0.259,1.3758358526007807e-19,209395_at,221193_s_at
0.259,1.386798770874623e-19,209395_at,210780_at
0.259,1.3953807436610158e-19,209395_at,210273_at
0.259,1.3960198098807095e-19,209395_at,212239_at
0.259,1.3966763221886747e-19,209395_at,211103_at
0.259,1.4022296752358198e-19,209395_at,218792_s_at
0.259,1.4055285924232844e-19,209395_at,211986_at
0.259,1.4192095228389249e-19,205990_s_at,209395_at
0.259,1.4205008097776395e-19,209395_at,217921_at
0.259,1.4291604029585358e-19,205446_s_at,209395_at
0.259,1.4573640162334417e-19,206478_at,209395_at
0.259,1.4585710177892514e-19,209395_at,218524_at
0.259,1.462532303493307e-19,209395_at,220233_at
0.259,1.4652806966585097e-19,205609_at,209395_at
0.259,1.4654341700052125e-19,200646_s_at,209395_at
0.259,1.468448313166455e-19,209395_at,219757_s_at
0.259,1.4733858646024202e-19,209395_at,214772_at
0.259,1.4741205997102058e-19,209395_at,219584_at
0.259,1.4806784343271896e-19,204853_at,209395_at
0.259,1.4884641854222447e-19,209395_at,222160_at
0.259,1.491366277728517e-19,204904_at,209395_at
0.259,1.4918397107182136e-19,209395_at,210510_s_at
0.259,1.4950626256410334e-19,209395_at,218372_at
0.259,1.5022066897970317e-19,208519_x_at,209395_at
0.259,1.5204051631254652e-19,205424_at,209395_at
0.259,1.5217049216524876e-19,201497_x_at,209395_at
0.259,1.5283354304761515e-19,202540_s_at,209395_at
0.259,1.528558784281478e-19,203202_at,209395_at
0.259,1.549924641081533e-19,209395_at,219203_at
0.259,1.5644405166735774e-19,203835_at,209395_at
0.259,1.5677554194470625e-19,209395_at,220533_at
0.259,1.5711126683824643e-19,209395_at,212216_at
0.259,1.5820082618905116e-19,209395_at,221250_s_at
0.259,1.5960106640013914e-19,209395_at,215128_at
0.259,1.6015007441128924e-19,209395_at,219759_at
0.259,1.6074623949813269e-19,209395_at,219857_at
0.259,1.609842290510894e-19,209395_at,216006_at
0.259,1.6167767312482316e-19,209395_at,214452_at
0.259,1.6381162556109085e-19,209395_at,219560_at
0.259,1.6381162556109085e-19,209395_at,213421_x_at
0.259,1.643571546958578e-19,209395_at,215694_at
0.259,1.6595478944080958e-19,209395_at,41856_at
0.259,1.6671349032297845e-19,209395_at,218010_x_at
0.259,1.6747749075854532e-19,209395_at,218930_s_at
0.259,1.6808260056941245e-19,200711_s_at,209395_at
0.259,1.6810898233216181e-19,209395_at,222006_at
0.259,1.6850935730680276e-19,209395_at,215490_at
0.259,1.6881629183214432e-19,202311_s_at,209395_at
0.259,1.6946587959731957e-19,209395_at,216691_at
0.259,1.7047469156472403e-19,203027_s_at,209395_at
0.259,1.7120038939436724e-19,206812_at,209395_at
0.259,1.7141715400737393e-19,209395_at,212324_s_at
0.259,1.7161104438789865e-19,206971_at,209395_at
0.259,1.7199788705797063e-19,207078_at,209395_at
0.259,1.7269416203122855e-19,209395_at,209649_at
0.259,1.729313447364731e-19,209395_at,221834_at
0.259,1.7307041156871445e-19,201312_s_at,209395_at
0.259,1.7423665803292784e-19,209395_at,212814_at
0.259,1.7476034114792404e-19,209395_at,212315_s_at
0.259,1.747694466022495e-19,209395_at,210748_at
0.259,1.753843008625232e-19,204605_at,209395_at
0.259,1.7602155550882094e-19,209395_at,222370_x_at
0.259,1.7681586276318082e-19,209395_at,219294_at
0.259,1.7903446250048663e-19,204047_s_at,209395_at
0.259,1.794332514388715e-19,204488_at,209395_at
0.259,1.8150516481784246e-19,209395_at,213250_at
0.259,1.827576450628725e-19,206217_at,209395_at
0.259,1.8323786771502002e-19,204434_at,209395_at
0.259,1.8360787227151115e-19,209395_at,209998_at
0.259,1.8564256545366596e-19,207641_at,209395_at
0.259,1.8650814493493515e-19,209395_at,217706_at
0.259,1.8918630990521015e-19,209395_at,220728_at
0.259,1.8953546558148269e-19,207895_at,209395_at
0.258,1.9381493394604585e-19,209395_at,214880_x_at
0.258,1.9410970720016542e-19,203015_s_at,209395_at
0.258,1.941838491931047e-19,209395_at,209878_s_at
0.258,1.972657751209236e-19,209395_at,215900_at
0.258,1.9787254816183806e-19,207728_at,209395_at
0.258,1.9916187731296441e-19,209395_at,215941_at
0.258,2.0008679572909464e-19,209395_at,220476_s_at
0.258,2.0114198154364626e-19,209395_at,213970_at
0.258,2.0121395128464429e-19,209395_at,213266_at
0.258,2.0312165996260596e-19,209395_at,212981_s_at
0.258,2.0356906758683339e-19,209395_at,222272_x_at
0.258,2.0626537926082446e-19,203768_s_at,209395_at
0.258,2.066740514721237e-19,207075_at,209395_at
0.258,2.083402779127164e-19,202584_at,209395_at
0.258,2.0930310065146643e-19,200857_s_at,209395_at
0.258,2.1092964440211206e-19,209395_at,217672_x_at
0.258,2.1297390565696498e-19,209395_at,216586_at
0.258,2.1682719802212825e-19,209395_at,61297_at
0.258,2.1756181999182435e-19,205679_x_at,209395_at
0.258,2.1909041926474707e-19,209395_at,219902_at
0.258,2.2048618841517967e-19,209395_at,213829_x_at
0.258,2.20987722494914e-19,209395_at,213644_at
