Correlation,FDR,Feature 1,Feature 2
continuous,continuous,string,string
,,meta,meta
0.522,1.399654098984205e-82,203708_at,209395_at
0.521,1.842804397246765e-82,201998_at,209395_at
0.521,1.9064263629402418e-82,209395_at,221903_s_at
0.521,2.486455515109752e-82,202501_at,209395_at
0.521,2.629347286717489e-82,209395_at,221510_s_at
0.521,3.249425905129495e-82,202902_s_at,209395_at
0.52,4.191694678396684e-82,208581_x_at,209395_at
0.52,4.3224387671083085e-82,200839_s_at,209395_at
0.52,5.282103168433458e-82,209395_at,220425_x_at
0.52,6.218579398706133e-82,203705_s_at,209395_at
0.52,6.242437982407739e-82,209395_at,210466_s_at
0.52,7.090015360367726e-82,202274_at,209395_at
0.52,7.569892875412867e-82,205831_at,209395_at
0.52,8.337639306962491e-82,209395_at,218345_at
0.519,8.871962059689298e-82,208961_s_at,209395_at
0.519,9.962329950252864e-82,209395_at,217028_at
0.519,1.2409399237445556e-81,209395_at,211675_s_at
0.519,1.2880063676794136e-81,202953_at,209395_at
0.519,1.3484539311107844e-81,209395_at,213923_at
0.519,1.3743614304721064e-81,209395_at,212288_at
0.519,1.387204754601549e-81,206074_s_at,209395_at
0.519,1.5051968524482819e-81,209395_at,215729_s_at
0.519,1.5428084013398198e-81,207668_x_at,209395_at
0.519,1.584021801791374e-81,202637_s_at,209395_at
0.519,1.6124410390194771e-81,202146_at,209395_at
0.519,1.7906790109766835e-81,202147_s_at,209395_at
0.519,1.9274336700456042e-81,200790_at,209395_at
0.518,2.1282090620973633e-81,209312_x_at,209395_at
0.518,2.2691484413516603e-81,208639_x_at,209395_at
0.518,2.724008499862194e-81,209395_at,38964_r_at
0.518,2.769753020330044e-81,208691_at,209395_at
0.518,2.835870920152826e-81,209395_at,209619_at
0.518,3.567298133719946e-81,202238_s_at,209395_at
0.518,3.582553548285469e-81,209395_at,31845_at
0.518,3.9544890974257904e-81,205403_at,209395_at
0.518,4.461253571279243e-81,208636_at,209395_at
0.517,4.961611006616765e-81,205350_at,209395_at
0.517,5.166237638875622e-81,202638_s_at,209395_at
0.517,5.285519318364206e-81,202200_s_at,209395_at
0.517,5.431754549515815e-81,209395_at,209924_at
0.517,6.080883222534856e-81,209395_at,221253_s_at
0.517,6.60049192681013e-81,204670_x_at,209395_at
0.517,6.681077510740328e-81,200989_at,209395_at
0.517,6.869725732978212e-81,209395_at,213620_s_at
0.517,7.175574646238486e-81,203186_s_at,209395_at
0.517,7.540478424300283e-81,209395_at,215346_at
0.517,8.065274802330924e-81,200958_s_at,209395_at
0.517,8.3765743107414855e-81,209395_at,218084_x_at
0.517,8.617614511527656e-81,209395_at,214456_x_at
0.517,8.681016592820876e-81,201970_s_at,209395_at
0.516,1.1821007091261564e-80,204220_at,209395_at
0.516,1.3966029283134835e-80,209395_at,212922_s_at
0.516,1.4466812048944613e-80,203131_at,209395_at
0.516,1.7923567746564064e-80,209395_at,213102_at
0.516,1.8832259830931065e-80,205267_at,209395_at
0.516,1.9785895081468456e-80,209395_at,213095_x_at
0.516,2.137458042806365e-80,209395_at,211063_s_at
0.515,2.7957024815994416e-80,201721_s_at,209395_at
0.515,2.9600137538161036e-80,209395_at,218627_at
0.515,3.231252920886824e-80,209395_at,212077_at
0.515,3.452227417318005e-80,203120_at,209395_at
0.515,3.487081500065781e-80,209395_at,211002_s_at
0.515,3.589500753634753e-80,203706_s_at,209395_at
0.514,5.218827644759619e-80,202440_s_at,209395_at
0.514,6.493036033438616e-80,200916_at,209395_at
0.514,8.400422838841278e-80,201875_s_at,209395_at
0.514,1.0030040727649746e-79,200079_s_at,209395_at
0.514,1.0047216933412112e-79,203923_s_at,209395_at
0.514,1.0047216933412112e-79,202431_s_at,209395_at
0.514,1.0388605136213791e-79,203712_at,209395_at
0.514,1.0757045199718895e-79,203510_at,209395_at
0.513,1.579091255555996e-79,209395_at,217478_s_at
0.513,1.668597611180349e-79,201587_s_at,209395_at
0.513,1.911746108666826e-79,208836_at,209395_at
0.513,2.0011407120062252e-79,201954_at,209395_at
0.513,2.2189077208812798e-79,209395_at,34210_at
0.512,3.045642601326847e-79,203236_s_at,209395_at
0.512,3.150646637630586e-79,201195_s_at,209395_at
0.512,3.326496392240458e-79,209395_at,212350_at
0.512,3.4491942403602636e-79,209395_at,218232_at
0.512,3.613999693875018e-79,200701_at,209395_at
0.512,3.86559950792206e-79,204457_s_at,209395_at
0.512,4.0964694235472935e-79,201433_s_at,209395_at
0.512,5.0807527864313736e-79,204806_x_at,209395_at
0.512,5.52911622232689e-79,204781_s_at,209395_at
0.511,7.520299869382581e-79,202157_s_at,209395_at
0.511,9.627841311374828e-79,206011_at,209395_at
0.511,1.0472999701631117e-78,202435_s_at,209395_at
0.511,1.1200210700300374e-78,209395_at,212761_at
0.51,1.3598739565176574e-78,209395_at,210563_x_at
0.51,1.4143552236666042e-78,203687_at,209395_at
0.51,1.438443213914878e-78,202912_at,209395_at
0.51,1.5496421844239058e-78,209272_at,209395_at
0.51,1.5695369495419225e-78,209395_at,213101_s_at
0.51,1.596415958121316e-78,206838_at,209395_at
0.51,1.862923988658207e-78,209395_at,209901_x_at
0.51,1.9958620839279685e-78,209395_at,219257_s_at
0.51,2.0124206603445662e-78,209395_at,215379_x_at
0.51,2.203733033115589e-78,209395_at,221477_s_at
0.51,2.2495127125888075e-78,204785_x_at,209395_at
0.51,2.2504130150520037e-78,209395_at,212687_at
0.51,2.329174615308846e-78,209395_at,219202_at
0.51,2.7422821663239046e-78,209167_at,209395_at
0.51,2.7521626553072186e-78,208885_at,209395_at
0.509,3.264985660296705e-78,209395_at,218194_at
0.509,4.052386803880543e-78,205668_at,209395_at
0.509,4.337470977790125e-78,209043_at,209395_at
0.509,4.448321636814367e-78,209395_at,32128_at
0.509,5.391043255465244e-78,201426_s_at,209395_at
0.509,5.6121944879142655e-78,204912_at,209395_at
0.509,6.125656850343788e-78,209395_at,220559_at
0.508,6.580137705683252e-78,209395_at,209870_s_at
0.508,1.0533164933131823e-77,209395_at,209825_s_at
0.508,1.181966911426555e-77,204821_at,209395_at
0.508,1.1887461956461786e-77,209395_at,212144_at
0.508,1.2239700697123625e-77,209395_at,218660_at
0.508,1.2865444520909651e-77,201853_s_at,209395_at
0.507,1.5402333294553217e-77,209395_at,209397_at
0.507,1.696959130204876e-77,209395_at,209669_s_at
0.507,1.809786888649714e-77,203180_at,209395_at
0.507,2.074066955185706e-77,209395_at,218447_at
0.507,2.4905381859600844e-77,200757_s_at,209395_at
0.507,2.4905381859600844e-77,209395_at,209583_s_at
0.507,2.8794705765941373e-77,209395_at,209800_at
0.507,2.931299207058443e-77,209395_at,212430_at
0.506,4.439844253904266e-77,203211_s_at,209395_at
0.506,4.592531231006952e-77,208540_x_at,209395_at
0.506,4.592531231006952e-77,202370_s_at,209395_at
0.506,4.677727321137038e-77,209395_at,212185_x_at
0.506,4.9059584318405445e-77,209395_at,209933_s_at
0.506,5.0009730999886615e-77,209395_at,210613_s_at
0.506,5.301112354346548e-77,209045_at,209395_at
0.506,5.372681938238609e-77,209386_at,209395_at
0.506,5.416832024131678e-77,200860_s_at,209395_at
0.506,5.503185882026804e-77,204232_at,209395_at
0.506,5.630019478193664e-77,209313_at,209395_at
0.506,5.806552407815393e-77,202052_s_at,209395_at
0.506,5.9909484263491254e-77,201833_at,209395_at
0.505,7.805309349398089e-77,209395_at,217436_x_at
0.505,7.805309349398089e-77,209395_at,220617_s_at
0.505,7.980418802256443e-77,201422_at,209395_at
0.505,8.134004870658318e-77,209395_at,218672_at
0.505,8.201883810648463e-77,209395_at,212187_x_at
0.505,9.660996998147016e-77,202664_at,209395_at
0.505,9.818717462966417e-77,209395_at,218902_at
0.505,1.072805963357528e-76,201930_at,209395_at
0.505,1.1071878783762177e-76,204222_s_at,209395_at
0.505,1.1316768654360878e-76,208296_x_at,209395_at
0.505,1.2191052048705062e-76,202727_s_at,209395_at
0.505,1.2557956711851694e-76,202267_at,209395_at
0.504,1.589272203835926e-76,201885_s_at,209395_at
0.504,1.884999972571729e-76,209395_at,37152_at
0.504,1.924669034303835e-76,209395_at,212174_at
0.504,2.093004225258266e-76,209395_at,213274_s_at
0.504,2.151318733797758e-76,204118_at,209395_at
0.504,2.165937794739821e-76,209395_at,218886_at
0.504,2.1991615778609936e-76,206134_at,209395_at
0.504,2.4067350082146368e-76,209395_at,217867_x_at
0.504,2.6929778131595604e-76,201153_s_at,209395_at
0.503,3.990390175896579e-76,202522_at,209395_at
0.503,4.133888476161986e-76,201272_at,209395_at
0.503,4.343230494964139e-76,209395_at,214181_x_at
0.503,4.516574352000826e-76,204994_at,209395_at
0.503,4.768457863675356e-76,202145_at,209395_at
0.503,4.7964833326657405e-76,209395_at,60471_at
0.503,4.9047991315551834e-76,209395_at,209787_s_at
0.503,4.99001221755105e-76,204060_s_at,209395_at
0.503,5.027593318202619e-76,202947_s_at,209395_at
0.503,5.045300340070651e-76,207332_s_at,209395_at
0.503,5.118576167196583e-76,201305_x_at,209395_at
0.503,5.253271968185885e-76,209395_at,210845_s_at
0.503,5.303139120319495e-76,209395_at,209970_x_at
0.503,5.607560802684383e-76,204279_at,209395_at
